nb_trawlers,fish_stock,capture,income,price,fleet_maintenance_cost,capital,net_profit
5,0.0,0.0,0.0,5.0,0.0,100.0,0.0
5,10053.935215378855,37.897429306157655,0.0,5.0,100.0,0.0,-100.0
5,10073.513418000326,20.0,189.48714653078827,5.0,100.0,89.48714653078827,89.48714653078827
5,10136.687487900497,4.4282891947193175,100.0,5.0,100.0,89.48714653078827,0.0
5,10221.400828296424,0.0,22.14144597359659,5.0,100.0,11.628592504384855,-77.85855402640341
5,10317.286633641314,0.0,0.0,5.0,100.0,-88.37140749561514,-100.0
5,10424.744443981308,0.0,0.0,5.0,100.0,-188.37140749561513,-100.0
5,10538.898205870424,0.0,0.0,5.0,100.0,-288.37140749561513,-100.0
5,10647.471706956881,40.0,0.0,5.0,100.0,-388.37140749561513,-100.0
5,10703.576065825378,48.046198828754974,200.0,5.0,100.0,-288.37140749561513,100.0
5,10753.439792190737,56.05864110034132,240.23099414377486,5.0,100.0,-148.14041335184027,140.23099414377486
5,10803.831982174754,23.785842022430764,280.2932055017066,5.0,100.0,32.15279214986634,180.2932055017066
5,10889.76020801296,20.0,118.92921011215381,5.0,100.0,51.082002262020154,18.92921011215381
5,10978.151686684407,7.676093641558915,100.0,5.0,100.0,51.082002262020154,0.0
5,11090.964163700508,20.0,38.38046820779458,5.0,100.0,-10.537529530185267,-61.61953179220542
5,11185.75442424194,20.0,100.0,5.0,100.0,-10.537529530185267,0.0
5,11278.307176224356,20.0,100.0,5.0,100.0,-10.537529530185267,0.0
5,11377.231123605916,20.0,100.0,5.0,100.0,-10.537529530185267,0.0
5,11467.37260260906,20.0,100.0,5.0,100.0,-10.537529530185267,0.0
5,11563.48879844213,20.0,100.0,5.0,100.0,-10.537529530185267,0.0
5,11657.388819757442,20.0,100.0,5.0,100.0,-10.537529530185267,0.0
5,11752.502160243348,20.0,100.0,5.0,100.0,-10.537529530185267,0.0
5,11848.857853285685,40.0,100.0,5.0,100.0,-10.537529530185267,0.0
5,11922.032572273401,44.77611476145961,200.0,5.0,100.0,89.46247046981473,100.0
5,11975.590858462163,40.0,223.88057380729805,5.0,100.0,213.34304427711277,123.88057380729805
5,12023.26177269986,40.0,200.0,5.0,100.0,313.34304427711277,100.0
5,12048.734959772211,23.61916900163946,200.0,5.0,100.0,413.34304427711277,100.0
5,12096.189171340584,0.0,118.0958450081973,5.0,100.0,431.4388892853101,18.0958450081973
5,12164.487795446214,0.0,0.0,5.0,100.0,331.4388892853101,-100.0
5,12239.362121215665,0.0,0.0,5.0,100.0,231.4388892853101,-100.0
5,12316.985794583023,0.0,0.0,5.0,100.0,131.4388892853101,-100.0
5,12409.082048827548,0.0,0.0,5.0,100.0,31.438889285310097,-100.0
5,12489.84608197069,0.0,0.0,5.0,100.0,-68.5611107146899,-100.0
5,12561.53844028366,0.0,0.0,5.0,100.0,-168.5611107146899,-100.0
5,12631.40201771283,40.0,0.0,5.0,100.0,-268.5611107146899,-100.0
5,12679.845938090057,24.338094145523648,200.0,5.0,100.0,-168.5611107146899,100.0
5,12756.797373568463,40.0,121.69047072761823,5.0,100.0,-146.87063998707168,21.690470727618234
5,12818.416491126327,59.07480270918066,200.0,5.0,100.0,-46.870639987071684,100.0
5,12857.957021487344,80.0,295.37401354590327,5.0,100.0,148.50337355883158,195.37401354590327
5,12848.820423284036,80.0,400.0,5.0,100.0,448.5033735588316,300.0
5,12832.082608700513,36.24161375927841,400.0,5.0,100.0,748.5033735588315,300.0
5,12869.567261476206,0.0,181.208068796392,5.0,100.0,829.7114423552235,81.20806879639201
5,12946.258320712781,20.0,0.0,5.0,100.0,729.7114423552235,-100.0
5,12996.609467807446,0.0,100.0,5.0,100.0,729.7114423552235,0.0
5,13062.867854588296,0.0,0.0,5.0,100.0,629.7114423552235,-100.0
5,13115.565426813779,0.0,0.0,5.0,100.0,529.7114423552235,-100.0
5,13176.752145528942,0.0,0.0,5.0,100.0,429.71144235522354,-100.0
5,13240.164221836487,0.0,0.0,5.0,100.0,329.71144235522354,-100.0
5,13282.314291237975,0.0,0.0,5.0,100.0,229.71144235522354,-100.0
5,13325.82376382221,0.0,0.0,5.0,100.0,129.71144235522354,-100.0
5,13372.01512942268,0.0,0.0,5.0,100.0,29.71144235522354,-100.0
5,13420.431695051255,20.0,0.0,5.0,100.0,-70.28855764477646,-100.0
5,13444.992221832183,60.0,100.0,5.0,100.0,-70.28855764477646,0.0
5,13438.626491116716,60.0,300.0,5.0,100.0,129.71144235522354,200.0
5,13435.22462356241,46.81795879729452,300.0,5.0,100.0,329.71144235522354,200.0
5,13443.67909579261,60.0,234.0897939864726,5.0,100.0,463.80123634169615,134.0897939864726
5,13441.568725719815,80.0,300.0,5.0,100.0,663.8012363416962,200.0
5,13426.1726419602,59.56475247583701,400.0,5.0,100.0,963.8012363416962,300.0
