nb_trawlers,fish_stock,capture,income,price,fleet_maintenance_cost,capital
26,0.0,0.0,0.0,5.0,0.0,100.0
26,9983.894101078642,253.58649523956936,0.0,5.0,520.0,-420.0
26,9799.825566809795,0.0,1267.9324761978467,5.0,520.0,327.93247619784665
26,9906.737606159675,77.30025895198995,0.0,5.0,520.0,-192.06752380215335
26,9969.711650245343,0.0,386.5012947599497,5.0,520.0,-325.56622904220364
26,10108.773278079034,0.0,0.0,5.0,520.0,-845.5662290422036
26,10251.31057097225,103.2365912410099,0.0,5.0,520.0,-1365.5662290422038
26,10287.402811063233,0.0,516.1829562050495,5.0,520.0,-1369.3832728371542
26,10433.06406689069,78.6098571750606,0.0,5.0,520.0,-1889.3832728371542
26,10520.733525722704,82.36399375639739,393.049285875303,5.0,520.0,-2016.3339869618512
26,10603.489912855914,89.23183667798277,411.8199687819869,5.0,520.0,-2124.5140181798643
26,10669.897230784907,20.0,446.15918338991384,5.0,520.0,-2198.3548347899505
26,10807.021414568793,20.0,100.0,5.0,520.0,-2618.3548347899505
26,10943.362032977078,165.22980099300608,100.0,5.0,520.0,-3038.3548347899505
26,10943.25109143356,25.392042537547198,826.1490049650304,5.0,520.0,-2732.2058298249203
26,11074.061752334443,40.0,126.96021268773599,5.0,520.0,-3125.245617137184
26,11184.710013430156,40.0,200.0,5.0,520.0,-3445.245617137184
26,11298.531266729999,40.0,200.0,5.0,520.0,-3765.245617137184
26,11393.289210110444,209.83287088877154,200.0,5.0,520.0,-4085.245617137184
26,11311.671040817166,93.88408490039636,1049.1643544438577,5.0,520.0,-3556.0812626933266
26,11326.902873689487,17.81818743228788,469.4204245019818,5.0,520.0,-3606.6608381913447
26,11383.839405856894,0.0,89.0909371614394,5.0,520.0,-4037.5699010299054
26,11459.361741846315,0.0,0.0,5.0,520.0,-4557.569901029905
26,11539.990061635106,0.0,0.0,5.0,520.0,-5077.569901029905
26,11625.214767716041,0.0,0.0,5.0,520.0,-5597.569901029905
26,11703.990678136402,89.00789928350741,0.0,5.0,520.0,-6117.569901029905
26,11687.292920313213,0.0,445.03949641753707,5.0,520.0,-6192.530404612367
26,11765.446312025302,0.0,0.0,5.0,520.0,-6712.530404612367
26,11839.138351347287,0.0,0.0,5.0,520.0,-7232.530404612367
26,11914.631341389235,0.0,0.0,5.0,520.0,-7752.530404612367
26,11988.036689842394,20.0,0.0,5.0,520.0,-8272.530404612367
26,12038.998114679976,40.0,100.0,5.0,520.0,-8692.530404612367
26,12048.162998617856,40.0,200.0,5.0,520.0,-9012.530404612367
26,12047.371400915681,40.0,200.0,5.0,520.0,-9332.530404612367
26,12055.825606837025,149.45809947946435,200.0,5.0,520.0,-9652.530404612367
26,11979.090360494407,148.9708284067562,747.2904973973218,5.0,520.0,-9425.239907215046
26,11896.971519199735,125.31538852439597,744.854142033781,5.0,520.0,-9200.385765181265
26,11829.986796607667,91.06289569849412,626.5769426219798,5.0,520.0,-9093.808822559286
26,11775.465728765184,56.3643465968691,455.3144784924706,5.0,520.0,-9158.494344066816
26,11763.174218410935,188.51215770916792,281.8217329843455,5.0,520.0,-9396.672611082471
26,11625.777688852035,89.98903180902974,942.5607885458396,5.0,520.0,-8974.111822536632
26,11589.925942476126,60.0,449.9451590451487,5.0,520.0,-9044.166663491484
26,11563.446520610814,38.136020823580736,300.0,5.0,520.0,-9264.166663491484
26,11570.709944116054,40.0,190.68010411790368,5.0,520.0,-9593.48655937358
26,11584.41631749857,31.028356642536814,200.0,5.0,520.0,-9913.48655937358
26,11625.701178938605,99.23563727136646,155.14178321268406,5.0,520.0,-10278.344776160895
26,11598.358106812737,120.0,496.17818635683227,5.0,520.0,-10302.166589804063
26,11549.564110430727,109.90185257445589,600.0,5.0,520.0,-10222.166589804063
26,11507.212628153367,52.21081030278903,549.5092628722795,5.0,520.0,-10192.657326931783
26,11514.171267356896,43.90883530804231,261.0540515139451,5.0,520.0,-10451.603275417838
26,11516.14158860932,63.53232910959696,219.54417654021157,5.0,520.0,-10752.059098877626
26,11503.523093146987,140.0,317.6616455479848,5.0,520.0,-10954.39745332964
26,11412.428638472118,102.92973293621237,700.0,5.0,520.0,-10774.39745332964
26,11352.331124079998,80.4693136193768,514.6486646810619,5.0,520.0,-10779.748788648578
26,11319.706167756322,80.0,402.346568096884,5.0,520.0,-10897.402220551694
26,11281.6389496519,120.63433237469422,400.0,5.0,520.0,-11017.402220551694
26,11204.659715833066,200.0,603.1716618734711,5.0,520.0,-10934.230558678222
26,11058.277367751482,195.0983846212128,1000.0,5.0,520.0,-10454.230558678222
26,10906.931773371783,71.61967024662619,975.4919231060641,5.0,520.0,-9998.738635572157
26,10876.777870709851,40.0,358.09835123313087,5.0,520.0,-10160.640284339026
26,10880.833026843087,82.89083000171343,200.0,5.0,520.0,-10480.640284339026
26,10850.354198389916,210.5831731132645,414.4541500085671,5.0,520.0,-10586.186134330459
26,10702.289546132994,153.28381348329214,1052.9158655663225,5.0,520.0,-10053.270268764136
26,10605.255299521621,90.32883889302663,766.4190674164607,5.0,520.0,-9806.851201347676
26,10547.30474098139,120.0,451.6441944651331,5.0,520.0,-9875.207006882543
26,10465.214331584797,89.97632689221226,600.0,5.0,520.0,-9795.207006882543
26,10427.511626202955,135.1157002838976,449.88163446106125,5.0,520.0,-9865.325372421483
26,10332.339617286909,40.0,675.5785014194879,5.0,520.0,-9709.746871001995
26,10307.292804308105,27.839935410180107,200.0,5.0,520.0,-10029.746871001995
26,10303.079059789701,60.0,139.19967705090053,5.0,520.0,-10410.547193951094
26,10276.160689733484,60.0,300.0,5.0,520.0,-10630.547193951094
26,10252.087660102974,46.79146115084805,300.0,5.0,520.0,-10850.547193951094
26,10235.009787896579,69.28196181608385,233.95730575424028,5.0,520.0,-11136.589888196853
26,10189.4429086633,60.0,346.40980908041934,5.0,520.0,-11310.180079116433
26,10158.146752570588,60.0,300.0,5.0,520.0,-11530.180079116433
26,10096.179503664145,72.82244033433228,300.0,5.0,520.0,-11750.180079116433
26,10030.531534387605,97.47024667877143,364.1122016716614,5.0,520.0,-11906.067877444772
26,9943.851301199487,108.5004607488099,487.3512333938571,5.0,520.0,-11938.716644050914
26,9854.04948664567,148.7256825288839,542.5023037440495,5.0,520.0,-11916.214340306864
26,9734.465353914971,160.0,743.6284126444195,5.0,520.0,-11692.585927662445
26,9598.382994993588,103.10234150083429,800.0,5.0,520.0,-11412.585927662445
26,9508.82937543815,49.299472005269536,515.5117075041715,5.0,520.0,-11417.074220158274
